procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3052876  66772 2695604    0    0  1134   555  694 1675 29  5 66  0  0
 0  0      0 3052876  66772 2699600    0    0     0     0  634  533 11  2 87  0  0
 0  0      0 3052876  66772 2695860    0    0     0     0  731 1151 15  3 82  0  0
 2  0      0 3052876  66780 2699600    0    0     0    12  777 2350 25  7 68  0  0
 1  0      0 3052876  66780 2701808    0    0     0     0  712 2287 54  6 40  0  0
 0  0      0 3052876  66780 2698028    0    0     0     0  689 1432 34  2 64  0  0
 0  0      0 3052876  66780 2698028    0    0     0     0  697 2015 30  5 65  0  0
 0  0      0 3052876  66780 2694304    0    0     0     0  646 1226 18  2 80  0  0
 1  0      0 3052876  66780 2698608    0    0     0     0  675 3929 56  4 40  0  0
 0  0      0 3052876  66780 2694884    0    0     0     0  651  551 15  1 84  0  0
 0  0      0 3052876  66780 2694884    0    0     0   496  583  221  6  1 93  0  0
 0  0      0 3052876  66780 2694884    0    0     0     0  569  191  7  0 93  0  0
 2  0      0 3052876  66788 2694884    0    0     0   120  585  506  7  2 90  1  0
 0  0      0 3052876  66788 2694896    0    0     0     0  634  738 17  1 82  0  0
 0  0      0 3052876  66788 2694896    0    0     0     0  605  316  9  1 90  0  0
 0  0      0 3052876  66788 2694896    0    0     0     0  616  193  5  0 95  0  0
 0  0      0 3052876  66788 2694896    0    0     0    36  648  246  7  0 93  0  0
 1  0      0 3052876  66788 2698620    0    0     0     0  555  369 14  1 85  0  0
 0  0      0 3052876  66796 2694896    0    0     0    76  575  228  8  0 91  1  0
 0  0      0 3052876  66796 2694896    0    0     0     0  578  245  6  1 93  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  546  198  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3052876  66796 2694896    0    0     0     0  563  217  5  0 95  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  629  300 10  0 90  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  620  301 13  1 86  0  0
 1  0      0 3052876  66796 2694896    0    0     0     0  633  682  6  2 92  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  561  901 10  1 89  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  573  246  5  0 95  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  529  227  4  0 96  0  0
 0  0      0 3052876  66796 2694896    0    0     0     0  638  551 15  1 84  0  0
 1  0      0 3052876  66796 2694896    0    0     0     0  721  888 34  3 63  0  0
 0  0      0 3052876  66804 2694888    0    0     0    36  622  638 12  0 87  1  0
 0  0      0 3052876  66812 2694896    0    0     0    24  628  559 12  1 86  1  0
 2  0      0 3052876  66812 2694896    0    0     0     0  651  626 22  3 75  0  0
 1  0      0 3052876  66812 2694896    0    0     0    72  737  874 44  4 52  0  0
 1  0      0 3052876  66812 2694896    0    0     0     0  703  782 34  2 64  0  0
 0  0      0 3052876  66812 2694896    0    0     0     0  667  672 10  2 88  0  0
 0  0      0 3052876  66812 2694896    0    0     0     0  616  444 10  0 90  0  0
 0  0      0 3052876  66812 2694896    0    0     0     0  614  464  6  2 91  0  0
 0  0      0 3052876  66812 2695568    0    0     0     0  635  823 31  3 66  0  0
 0  0      0 3052876  66812 2695568    0    0     0     0  641  666 16  2 82  0  0
 0  0      0 3052876  66812 2695568    0    0     0     0  590  321 16  1 82  0  0
 1  0      0 3052876  66812 2695568    0    0     0     0  633  513 14  2 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3052876  66812 2695568    0    0     0     0  634  680 24  2 74  0  0
 1  0      0 3052876  66812 2695568    0    0     0     0  596  547  9  2 89  0  0
^C
[2]-  Done                    ./a.out
